init;end
4045240644369;4045240694369
4074788088830;4074788992678
4122486178672;4122604086984
9820648928473;9820648978473
9820663262865;9820663312865
12113915690990;12114325495909
14327929525667;14327929575667
14966620169529;14966620953573
15871329299331;15871330278908
19643788298704;19643788948704
21194793243648;21194793293648
23122759252787;23122759575766
23123185205612;23123185255612
24324546771882;24324546971882
24324651271883;24324651789406
27299868524892;27299869420972
28864182592589;28864199626572
30923060551965;30923061459523
31842458732042;31842464346400
36160614575587;36160670575587
36897208010266;36897208060266
41529661344898;41530000000000
42977769492517;42977769536262
43238899075949;43238899100561
43238899275949;43238899325949
43238899325949;43238899375949
43238900325949;43238900375949
47016392131216;47016461186467
47782971219203;47782971269203
48179588228891;48179588278891
49162013535651;49162474507445
49172029809140;49172029859140
49172029859140;49172029909140
49481527148916;49481527878730
49481877225238;49481878175237
49523068950000;49523315201500
49916590917991;49916590967991
49916590967991;49916591017991
49916591601733;49916591651733
49916591651733;49916591701733
51369103964165;51369104730161
52765729289328;52765729339328
52768637946367;52768637996367
52769655638519;52769657349932
55278845364993;55278894817648
59191827666010;59191827716010
65031811737850;65031811765811
65031811765811;65031811815811
71413126570378;71413126600430
71413126750691;71413126800691
71413126800691;71413127050430
71413223213740;71413223266240
71413629434893;71413632434893
72750984489043;72750984531540
81627495482169;81627497264104
82710791606145;82710792053645
82710854689800;82710854747130
82711686244961;82711686996137
83796567850000;83796568800000
85092468060447;85092468318373
85093469186497;85093469236497
85094282279603;85094282329603
85094720225804;85094720275804
91808566500000;91808567500000
96570983411332;96571386981332
96940549924179;96940549934179
96941055702055;96941055752055
97626629642488;97626629692488
101820990636478;101820991636478
103035191009729;103035191049451
104919657581542;104919717532242
105227769246184;105227769438763
106171745850943;106171745950943
106299215176133;106299216172798
109589894722227;109589894772226
110170401119047;110170401119048
110172389772809;110172390016379
110172860214457;110172861617342
110172861819843;110172864520354
110483954884580;110483954987412
111068099947132;111068100024531
112360753392862;112360753405362
112360815791929;112360815841929
113070775547234;113070775597234
114592060566700;114592065566699
114592457041558;114592459796558
116133334923962;116133335008091
116133403230138;116133403909176
116133726470939;116133733843829
117043464708326;117043465410232
