;mid
0;00000
1;00100
2;00200
3;00300
4;00400
5;00500
6;00600
7;00700
8;00800
9;00900
10;01010
11;01110
12;01210
13;01310
14;01410
15;01510
16;01610
17;01710
18;01810
19;01910
20;02020
21;02120
22;02220
23;02320
24;02420
25;02520
26;02620
27;02720
28;02820
29;02920
30;03030
31;03130
32;03230
33;03330
34;03430
35;03530
36;03630
37;03730
38;03830
39;03930
40;04040
41;04140
42;04240
43;04340
44;04440
45;04540
46;04640
47;04740
48;04840
49;04940
50;05050
51;05150
52;05250
53;05350
54;05450
55;05550
56;05650
57;05750
58;05850
59;05950
60;06060
61;06160
62;06260
63;06360
64;06460
65;06560
66;06660
67;06760
68;06860
69;06960
70;07070
71;07170
72;07270
73;07370
74;07470
75;07570
76;07670
77;07770
78;07870
79;07970
80;08080
81;08180
82;08280
83;08380
84;08480
85;08580
86;08680
87;08780
88;08880
89;08980
90;09090
91;09190
92;09290
93;09390
94;09490
95;09590
96;09690
97;09790
98;09890
99;09990
100;10001
101;10101
102;10201
103;10301
104;10401
105;10501
106;10601
107;10701
108;10801
109;10901
110;11011
111;11111
112;11211
113;11311
114;11411
115;11511
116;11611
117;11711
118;11811
119;11911
120;12021
121;12121
122;12221
123;12321
124;12421
125;12521
126;12621
127;12721
128;12821
129;12921
130;13031
131;13131
132;13231
133;13331
134;13431
135;13531
136;13631
137;13731
138;13831
139;13931
140;14041
141;14141
142;14241
143;14341
144;14441
145;14541
146;14641
147;14741
148;14841
149;14941
150;15051
151;15151
152;15251
153;15351
154;15451
155;15551
156;15651
157;15751
158;15851
159;15951
160;16061
161;16161
162;16261
163;16361
164;16461
165;16561
166;16661
167;16761
168;16861
169;16961
170;17071
171;17171
172;17271
173;17371
174;17471
175;17571
176;17671
177;17771
178;17871
179;17971
180;18081
181;18181
182;18281
183;18381
184;18481
185;18581
186;18681
187;18781
188;18881
189;18981
190;19091
191;19191
192;19291
193;19391
194;19491
195;19591
196;19691
197;19791
198;19891
199;19991
200;20002
201;20102
202;20202
203;20302
204;20402
205;20502
206;20602
207;20702
208;20802
209;20902
210;21012
211;21112
212;21212
213;21312
214;21412
215;21512
216;21612
217;21712
218;21812
219;21912
220;22022
221;22122
222;22222
223;22322
224;22422
225;22522
226;22622
227;22722
228;22822
229;22922
230;23032
231;23132
232;23232
233;23332
234;23432
235;23532
236;23632
237;23732
238;23832
239;23932
240;24042
241;24142
242;24242
243;24342
244;24442
245;24542
246;24642
247;24742
248;24842
249;24942
250;25052
251;25152
252;25252
253;25352
254;25452
255;25552
256;25652
257;25752
258;25852
259;25952
260;26062
261;26162
262;26262
263;26362
264;26462
265;26562
266;26662
267;26762
268;26862
269;26962
270;27072
271;27172
272;27272
273;27372
274;27472
275;27572
276;27672
277;27772
278;27872
279;27972
280;28082
281;28182
282;28282
283;28382
284;28482
285;28582
286;28682
287;28782
288;28882
289;28982
290;29092
291;29192
292;29292
293;29392
294;29492
295;29592
296;29692
297;29792
298;29892
299;29992
300;30003
301;30103
302;30203
303;30303
304;30403
305;30503
306;30603
307;30703
308;30803
309;30903
310;31013
311;31113
312;31213
313;31313
314;31413
315;31513
316;31613
317;31713
318;31813
319;31913
320;32023
321;32123
322;32223
323;32323
324;32423
325;32523
326;32623
327;32723
328;32823
329;32923
330;33033
331;33133
332;33233
333;33333
334;33433
335;33533
336;33633
337;33733
338;33833
339;33933
340;34043
341;34143
342;34243
343;34343
344;34443
345;34543
346;34643
347;34743
348;34843
349;34943
350;35053
351;35153
352;35253
353;35353
354;35453
355;35553
356;35653
357;35753
358;35853
359;35953
360;36063
361;36163
362;36263
363;36363
364;36463
365;36563
366;36663
367;36763
368;36863
369;36963
370;37073
371;37173
372;37273
373;37373
374;37473
375;37573
376;37673
377;37773
378;37873
379;37973
380;38083
381;38183
382;38283
383;38383
384;38483
385;38583
386;38683
387;38783
388;38883
389;38983
390;39093
391;39193
392;39293
393;39393
394;39493
395;39593
396;39693
397;39793
398;39893
399;39993
400;40004
401;40104
402;40204
403;40304
404;40404
405;40504
406;40604
407;40704
408;40804
409;40904
410;41014
411;41114
412;41214
413;41314
414;41414
415;41514
416;41614
417;41714
418;41814
419;41914
420;42024
421;42124
422;42224
423;42324
424;42424
425;42524
426;42624
427;42724
428;42824
429;42924
430;43034
431;43134
432;43234
433;43334
434;43434
435;43534
436;43634
437;43734
438;43834
439;43934
440;44044
441;44144
442;44244
443;44344
444;44444
445;44544
446;44644
447;44744
448;44844
449;44944
450;45054
451;45154
452;45254
453;45354
454;45454
455;45554
456;45654
457;45754
458;45854
459;45954
460;46064
461;46164
462;46264
463;46364
464;46464
465;46564
466;46664
467;46764
468;46864
469;46964
470;47074
471;47174
472;47274
473;47374
474;47474
475;47574
476;47674
477;47774
478;47874
479;47974
480;48084
481;48184
482;48284
483;48384
484;48484
485;48584
486;48684
487;48784
488;48884
489;48984
490;49094
491;49194
492;49294
493;49394
494;49494
495;49594
496;49694
497;49794
